product_name,price,quantity_sold,date,customer_type,category,sales,order_id,customer,payment,status,week,notification_type,notification_item,notification_date,notification_details
Paracetamol,45.00,120,2024-01-05,returning,pharmaceuticals,5400.00,30001,Dr. Smith,Paid,Delivered,W1,Shipped,Order #30001,2024-01-05,Delivered for Paracetamol
Blood Pressure Monitor,1200.00,5,2024-01-10,new,medical devices,6000.00,30002,Jane Doe,Unpaid,Processing,W2,Delayed,Order #30002,2024-01-10,Delayed for Blood Pressure Monitor
Vitamin C Tablets,150.00,40,2024-01-12,affiliate,supplements,6000.00,30003,John Lee,Paid,Delivered,W2,Shipped,Order #30003,2024-01-12,Delivered for Vitamin C Tablets
Surgical Gloves,250.00,30,2024-01-15,employee,surgical,7500.00,30004,Dr. Patel,Pending,Out for Delivery,W3,Info,Order #30004,2024-01-15,Info for Surgical Gloves
Face Mask,10.00,200,2024-01-18,guest,personal care,2000.00,30005,Emily Brown,Paid,Delivered,W3,Promotion,Order #30005,2024-01-18,Promotion for Face Mask
Hand Sanitizer,80.00,50,2024-01-20,wholesale,personal care,4000.00,30006,Michael Chen,Partial,Delivered,W3,Shipped,Order #30006,2024-01-20,Shipped for Hand Sanitizer
Insulin Syringe,30.00,60,2024-01-22,vip,medical devices,1800.00,30007,Dr. Kumar,Processing,Processing,W4,Reminder,Order #30007,2024-01-22,Reminder for Insulin Syringe
Thermometer,350.00,10,2024-01-25,affiliate,diagnostics,3500.00,30008,Anna Ivanova,Refunded,Returned,W4,Returned,Order #30008,2024-01-25,Returned for Thermometer
Bandages,20.00,100,2024-01-28,returning,hospital supplies,2000.00,30009,Lucas Rossi,Paid,Delivered,W4,Delivered,Order #30009,2024-01-28,Delivered for Bandages
Antiseptic Solution,75.00,25,2024-02-01,employee,pharmaceuticals,1875.00,30010,Wei Chen,Unpaid,Processing,W5,Info,Order #30010,2024-02-01,Info for Antiseptic Solution
Stethoscope,800.00,3,2024-02-03,new,medical devices,2400.00,30011,Tom Müller,Paid,Delivered,W5,Shipped,Order #30011,2024-02-03,Shipped for Stethoscope
Glucometer,900.00,4,2024-02-06,affiliate,diagnostics,3600.00,30012,David Kim,Pending,Out for Delivery,W6,Promotion,Order #30012,2024-02-06,Promotion for Glucometer
IV Drip Set,120.00,15,2024-02-09,guest,hospital supplies,1800.00,30013,Jane Smith,Partial,Delivered,W6,Delivered,Order #30013,2024-02-09,Delivered for IV Drip Set
Oximeter,500.00,8,2024-02-12,wholesale,diagnostics,4000.00,30014,Leslie Alexander,Processing,Processing,W6,Reminder,Order #30014,2024-02-12,Reminder for Oximeter
Surgical Mask,8.00,300,2024-02-15,returning,personal care,2400.00,30015,Dr. Patel,Paid,Delivered,W7,Shipped,Order #30015,2024-02-15,Shipped for Surgical Mask
Antibiotic Cream,60.00,35,2024-02-18,vip,pharmaceuticals,2100.00,30016,Anna Ivanova,Refunded,Returned,W7,Returned,Order #30016,2024-02-18,Returned for Antibiotic Cream
Wheelchair,5000.00,1,2024-02-20,employee,medical devices,5000.00,30017,John Lee,Pending,Processing,W7,Info,Order #30017,2024-02-20,Info for Wheelchair
First Aid Kit,350.00,7,2024-02-23,affiliate,hospital supplies,2450.00,30018,Wei Chen,Paid,Delivered,W8,Delivered,Order #30018,2024-02-23,Delivered for First Aid Kit
Pain Relief Spray,120.00,20,2024-02-25,guest,pharmaceuticals,2400.00,30019,Michael Chen,Partial,Delivered,W8,Promotion,Order #30019,2024-02-25,Promotion for Pain Relief Spray
