product_name,price,quantity_sold,date,customer_type,category,sales,order_id,customer,payment,status,week,notification_type,notification_item,notification_date,notification_details
Coffee,51.28,5,2024-02-09,new,clothing,261.67,43976,Mohammed Ali,Refunded,Processing,W3,Settlement,Order #43976,2024-02-09,Settlement for Coffee
Cooking Oil,157.89,33,2024-05-15,returning,electronics,4539.78,74791,Wei Chen,Unpaid,Cancelled,W1,Settlement,Order #74791,2024-05-15,Settlement for Cooking Oil
Sugar,399.61,21,2024-03-31,wholesale,food,7808.94,41832,Emily Brown,Refunded,On Hold,W7,Settlement,Order #41832,2024-03-31,Settlement for Sugar
Wheat,147.11,48,2024-05-23,returning,cleaning,7295.67,66350,David Kim,Failed,Out for Delivery,W5,Cancelled,Order #66350,2024-05-23,Cancelled for Wheat
Shampoo,166.95,33,2024-03-14,vip,personal care,5893.71,30452,Wei Chen,Pending,Processing,W8,Cancelled,Order #30452,2024-03-14,Cancelled for Shampoo
Wheat,107.28,44,2024-06-23,regular,personal care,4379.74,47537,Priya Patel,Refunded,Delivered,W9,Promotion,Order #47537,2024-06-23,Promotion for Wheat
Juice,399.34,41,2024-06-02,employee,stationery,15956.05,56767,Wei Chen,Refunded,Returned,W7,Reminder,Order #56767,2024-06-02,Reminder for Juice
Salt,269.03,16,2024-05-26,guest,clothing,3790.49,70295,Carlos Gomez,Pending,Out for Delivery,W2,Delivered,Order #70295,2024-05-26,Delivered for Salt
Cooking Oil,424.3,39,2024-01-18,employee,food,17450.85,58822,David Kim,Processing,Out for Delivery,W7,Shipped,Order #58822,2024-01-18,Shipped for Cooking Oil
Tea,231.79,6,2024-04-10,guest,cleaning,1421.87,57783,Jane Smith,Failed,Cancelled,W5,Delivered,Order #57783,2024-04-10,Delivered for Tea
Toothpaste,493.47,6,2024-06-19,wholesale,beverage,3486.59,88230,Sara Lee,Partial,Processing,W6,Delayed,Order #88230,2024-06-19,Delayed for Toothpaste
Soap,68.43,5,2024-02-02,wholesale,clothing,368.35,46094,Carlos Gomez,Pending,Returned,W9,Promotion,Order #46094,2024-02-02,Promotion for Soap
Bathroom Essentials,372.88,32,2024-02-10,guest,electronics,12648.53,76015,Lucas Rossi,Partial,On Hold,W7,Reminder,Order #76015,2024-02-10,Reminder for Bathroom Essentials
Bathroom Essentials,255.38,22,2024-01-28,guest,stationery,5614.43,33649,Sofia Garcia,Refunded,Cancelled,W4,Settlement,Order #33649,2024-01-28,Settlement for Bathroom Essentials
Biscuits,407.36,25,2024-03-22,guest,clothing,11584.33,45311,Jane Smith,Unpaid,Shipping,W4,Delivered,Order #45311,2024-03-22,Delivered for Biscuits
Sugar,284.37,42,2024-02-03,guest,cleaning,11720.52,54386,Emily Brown,Partial,Out for Delivery,W5,Cancelled,Order #54386,2024-02-03,Cancelled for Sugar
Cooking Oil,133.25,23,2024-04-04,wholesale,stationery,3526.61,32233,Anna Ivanova,Paid,Processing,W7,Promotion,Order #32233,2024-04-04,Promotion for Cooking Oil
Basmati Rice,192.87,6,2024-04-25,wholesale,food,937.1,90531,David Kim,Failed,Processing,W7,Cancelled,Order #90531,2024-04-25,Cancelled for Basmati Rice
